Period,Date,Numbers,Special_Number,Jackpot_Rollover,Jackpot_Total,Jackpot_Per_Winner,Second_Prize_Total,Second_Prize_Per_Winner,Third_Prize_Total,Third_Prize_Per_Winner,Fourth_Prize_Total,Fourth_Prize_Per_Winner,Fifth_Prize_Total,Fifth_Prize_Per_Winner,Sixth_Prize_Total,Sixth_Prize_Per_Winner,Seventh_Prize_Total,Seventh_Prize_Per_Winner,Normal_Prize_Total,Normal_Prize_Per_Winner
115000013,2026-02-12,1 3 8 15 20 48,46,53698687,42180455,0,3343572,3343572,3600770,41388,2314781,14288,8208000,2000,4425000,1000,17660400,400,27834800,400
115000012,2026-02-10,6 16 20 21 24 35,13,24760474,28938213,0,2293882,2293882,2470335,57449,1588072,16716,4696000,2000,3115000,1000,12814400,400,16925200,400
115000011,2026-02-06,4 12 24 25 39 48,9,0,24760474,0,1962720,3146332,2113699,50326,1358806,12581,4278000,2000,3336000,1000,13238000,400,15717600,400
115000010,2026-02-03,6 14 32 33 39 43,13,108796119,30611393,139407512,2426512,0,2613167,58070,1679893,15411,3830000,2000,2836000,1000,11891200,400,15024800,400
115000009,2026-01-30,9 13 27 31 32 39,19,84783577,24012542,0,1903433,0,2049851,45552,1317761,13177,4652000,2000,3061000,1000,11516800,400,15332800,400
115000008,2026-01-27,4 11 24 25 29 30,8,66548112,18235465,0,1445494,1445494,1556686,47172,1000726,5351,4544000,2000,3986000,1000,14444400,400,15205600,400
115000007,2026-01-23,21 23 32 36 39 43,12,43979331,22568781,0,1788988,1906136,1926603,60206,1238530,9527,3518000,2000,2761000,1000,10892800,400,12766000,400
115000006,2026-01-20,2 7 26 41 44 45,46,18454808,25524523,0,2023285,0,2178922,66027,1400736,16100,3480000,2000,2140000,1000,8842800,400,12761200,400
115000005,2026-01-16,9 10 21 22 25 36,20,0,18454808,0,1462881,1695193,1575410,32151,1012763,10889,4748000,2000,2984000,1000,11553600,400,15536800,400
115000004,2026-01-13,2 10 18 19 39 49,24,86357150,24316234,110673384,1927506,0,2075776,50628,1334427,11405,3702000,2000,2831000,1000,11305600,400,13786800,400
115000003,2026-01-09,1 7 13 14 34 45,8,64501284,21855866,0,1732477,577492,1865744,58304,1199407,12896,3450000,2000,2691000,1000,11626400,400,12910000,400
115000002,2026-01-06,2 23 33 38 39 45,6,42367900,22133384,0,1754475,1754475,1889435,40200,1214636,12652,3882000,2000,2685000,1000,10839600,400,13570400,400
115000001,2026-01-02,3 7 16 19 40 42,12,20114458,22253442,0,1763992,3358430,1899684,94984,1221225,12991,3310000,2000,2876000,1000,11870000,400,12860800,400
114000118,2025-12-30,5 10 15 20 24 29,34,0,20114458,0,1594438,0,1717087,35772,1103842,12687,5198000,2000,2422000,1000,9569200,400,15780400,400
114000117,2025-12-26,5 7 9 14 17 30,47,39652982,60347018,100000000,1381741,1381741,1488028,26105,956590,10511,5264000,2000,2492000,1000,9074400,400,16806800,400
114000116,2025-12-23,1 3 12 33 39 41,29,17001712,22651270,0,1795527,897763,1933645,46039,1243057,13084,3862000,2000,2753000,1000,11130800,400,14743200,400
114000115,2025-12-19,6 8 11 12 18 46,37,0,17001712,0,1347696,673848,1451365,29027,933020,5520,5310000,2000,2794000,1000,10372800,400,16898800,400
114000114,2025-12-16,6 7 15 19 24 33,46,189121929,28101498,217223427,2227557,1113778,2398908,64835,1542155,13527,5406000,2000,2895000,1000,11528000,400,18391200,400
114000113,2025-12-12,15 17 24 26 40 47,33,159366717,29755212,0,2358644,4395062,2540079,87588,1632907,17558,3870000,2000,2606000,1000,11182400,400,14063200,400
114000112,2025-12-09,5 10 18 26 28 44,48,133676521,25690196,0,2036418,0,2193065,51001,1409827,9998,4908000,2000,2800000,1000,10502000,400,17002800,400
114000111,2025-12-05,8 15 23 24 41 47,2,111366155,22310366,0,1768504,1286173,1904543,47613,1224349,7511,4258000,2000,3341000,1000,12280000,400,14594800,400
114000110,2025-12-02,14 20 32 35 42 48,28,84999787,26366368,0,2090017,0,2250787,52343,1446934,15727,3282000,2000,2477000,1000,9832800,400,12726000,400
114000109,2025-11-28,8 12 18 28 37 46,34,63317787,21682000,0,1718695,1718695,1850902,44069,1189865,11780,4276000,2000,2555000,1000,9958400,400,14681200,400
114000108,2025-11-25,2 10 12 20 23 24,28,45079961,18237826,0,1445681,1128425,1556887,18103,1000856,7943,5702000,2000,3156000,1000,11358000,400,16725200,400
114000107,2025-11-21,14 20 21 28 31 46,37,20611221,24468740,0,1939595,0,2088794,52219,1342796,15087,3450000,2000,2355000,1000,9592800,400,12480800,400
114000106,2025-11-18,8 9 10 23 24 43,45,0,20611221,0,1633816,1633816,1759494,53318,1131103,11906,4678000,2000,2584000,1000,10114400,400,16245600,400
114000105,2025-11-14,21 25 26 38 41 46,4,627325839,64656957,691982796,5125246,1025049,5519496,49281,3548247,14192,9766000,2000,6725000,1000,27708000,400,36660000,400
114000104,2025-11-11,11 16 24 42 44 47,32,563811677,63514162,0,5034659,1817113,5421940,70414,3485533,18344,8228000,2000,5519000,1000,22139200,400,31342800,400
114000103,2025-11-07,4 11 22 32 33 41,43,512707883,51103794,0,4050910,0,4362519,39301,2804476,14530,9452000,2000,5455000,1000,21246000,400,32773200,400
114000102,2025-11-04,16 25 27 35 47 48,14,463173074,49534809,0,3926539,3926539,4228581,48604,2718373,16575,7646000,2000,4989000,1000,21093200,400,27529600,400
114000101,2025-10-31,3 4 7 10 18 21,15,426604332,36568742,0,2898741,1419238,3121721,23296,2006821,6645,11012000,2000,6797000,1000,23113600,400,33566800,400
114000100,2025-10-28,5 8 11 12 18 39,37,393215946,33388386,0,2646640,0,2850228,24570,1832289,9300,9498000,2000,5255000,1000,19893200,400,30194800,400
114000099,2025-10-24,13 22 23 33 39 40,31,355747634,37468312,0,2970049,0,3198514,60349,2056187,14792,5686000,2000,3834000,1000,15043200,400,20840000,400
114000098,2025-10-21,14 20 25 42 44 49,12,318624883,37122751,0,2942657,6087663,3169015,64673,2037224,17562,5102000,2000,3443000,1000,15106800,400,18833200,400
