Period,Date,Numbers,Special_Number,First_Prize_Rollover,First_Prize_Total,First_Prize_Per_Winner,Second_Prize_Rollover,Second_Prize_Total,Second_Prize_Per_Winner
115000017,2026-02-26,3 19 27 30 37 38,2,113050914,137895789,0,4555456,7626170,7626170
115000016,2026-02-23,4 10 13 24 31 35,2,76193126,113050914,0,0,4555456,0
115000015,2026-02-19,2 3 6 12 23 27,4,38606509,76193126,0,50160346,54805883,18268627
115000014,2026-02-16,2 6 19 33 36 38,3,0,38606509,0,45388755,50160346,0
115000013,2026-02-12,6 10 22 25 32 35,3,1155300715,1355740694,677870347,20615275,45388755,0
115000012,2026-02-09,13 14 16 33 34 37,2,988504396,1155300715,0,0,20615275,0
115000011,2026-02-05,7 22 28 34 36 37,7,872951416,988504396,0,0,14281829,14281829
115000010,2026-02-02,1 12 14 15 27 29,5,778800025,872951416,0,42127764,53764452,13441113
115000009,2026-01-29,5 10 15 17 23 25,5,701917353,778800025,0,32625412,42127764,0
115000008,2026-01-26,3 8 12 26 32 38,4,635096300,701917353,0,24366631,32625412,0
115000007,2026-01-22,11 17 29 30 34 35,6,578825178,635096300,0,17411774,24366631,0
115000006,2026-01-19,10 16 20 23 35 37,5,522865356,578825178,0,10495392,17411774,0
115000005,2026-01-15,8 10 16 26 31 38,5,478879345,522865356,0,5058919,10495392,0
115000004,2026-01-12,1 9 14 17 33 38,3,437948090,478879345,0,0,5058919,0
115000003,2026-01-08,7 17 25 26 27 33,3,403784448,437948090,0,41837370,46059842,46059842
115000002,2026-01-05,11 14 19 25 34 37,4,369067182,403784448,0,37546472,41837370,0
115000001,2026-01-01,7 14 22 23 31 35,1,339579271,369067182,0,33901899,37546472,0
114000104,2025-12-29,1 3 9 11 18 32,6,311625991,339579271,0,30447000,33901899,0
114000103,2025-12-25,6 12 21 22 28 34,8,288061435,311625991,0,27534527,30447000,0
114000102,2025-12-22,5 16 21 25 32 34,8,263298569,288061435,0,24473949,27534527,0
114000101,2025-12-18,8 15 16 21 29 37,5,243348583,263298569,0,22008221,24473949,0
114000100,2025-12-15,19 26 28 31 32 34,6,222469313,243348583,0,19427637,22008221,0
114000099,2025-12-11,5 6 11 15 22 37,7,204278959,222469313,0,17179391,19427637,0
114000098,2025-12-08,5 14 15 20 32 37,2,185239194,204278959,0,14826162,17179391,0
114000097,2025-12-04,3 6 7 10 29 33,1,167650173,185239194,0,12652239,14826162,0
114000096,2025-12-01,5 7 8 11 32 37,2,150525594,167650173,0,10535718,12652239,0
114000095,2025-11-27,4 9 16 26 33 35,2,133028488,150525594,0,8373155,10535718,0
114000094,2025-11-24,7 9 19 20 33 34,7,114167252,133028488,0,6041991,8373155,0
114000093,2025-11-20,3 8 17 20 31 35,7,97802929,114167252,0,4019435,6041991,0
114000092,2025-11-17,17 18 19 28 34 36,6,79567884,97802929,0,1765666,4019435,0
114000091,2025-11-13,2 9 11 15 26 34,4,65282041,79567884,0,0,1765666,0
114000090,2025-11-10,6 12 28 29 31 32,4,48744867,65282041,0,2004893,4048813,2024406
114000089,2025-11-06,11 18 20 25 29 37,8,32523456,48744867,0,0,2004893,0
114000088,2025-11-03,4 18 20 30 32 35,4,15688719,32523456,0,5827072,7907769,7907769
114000087,2025-10-30,13 14 17 20 21 24,2,0,15688719,0,3888017,5827072,0
114000086,2025-10-27,1 11 16 20 27 36,6,99543765,200000000,200000000,1837870,3888017,0
114000085,2025-10-23,5 9 11 21 32 35,8,84673726,99543765,0,0,1837870,0
114000084,2025-10-20,8 12 19 22 24 32,5,69265931,84673726,0,0,1904334,1904334
114000083,2025-10-16,8 9 13 16 26 35,2,52658816,69265931,0,8665705,10718269,10718269
114000082,2025-10-13,4 6 8 18 24 28,1,35805340,52658816,0,6582692,8665705,0
114000081,2025-10-09,1 6 11 20 34 35,8,18002234,35805340,0,4382309,6582692,0
114000080,2025-10-06,5 6 9 14 15 37,5,0,18002234,0,2157314,4382309,0
114000079,2025-10-02,3 5 12 24 27 30,7,209651843,227106478,227106478,0,2157314,0
114000078,2025-09-29,12 16 17 20 27 36,3,191012347,209651843,0,26159210,28462968,28462968
114000077,2025-09-25,8 12 14 24 28 35,3,174580981,191012347,0,24128367,26159210,0
114000076,2025-09-22,10 11 14 22 31 33,2,156034676,174580981,0,21836128,24128367,0
114000075,2025-09-18,10 20 25 28 32 36,2,138141916,156034676,0,19624664,21836128,0
114000074,2025-09-15,4 16 20 33 34 38,2,119327121,138141916,0,17299240,19624664,0
114000073,2025-09-11,11 18 21 27 31 35,6,101461235,119327121,0,15091097,17299240,0
114000072,2025-09-08,7 8 14 15 25 36,6,83894415,101461235,0,12919917,15091097,0
114000071,2025-09-04,6 7 9 11 21 38,8,69387767,83894415,0,11126961,12919917,0
114000070,2025-09-01,2 7 16 18 28 29,4,51295888,69387767,0,8890886,11126961,0
114000069,2025-08-28,9 13 14 17 23 30,5,34588804,51295888,0,6825966,8890886,0
114000068,2025-08-25,1 12 14 21 36 37,3,15889210,34588804,0,4514781,6825966,0
114000067,2025-08-21,2 4 11 12 16 19,2,0,15889210,0,2550947,4514781,0
114000066,2025-08-18,2 5 8 17 20 26,6,248271714,268911196,268911196,0,2550947,0
114000065,2025-08-14,1 11 14 17 19 36,3,228639965,248271714,0,19429908,21856303,21856303
114000064,2025-08-11,3 5 9 16 18 19,2,208440619,228639965,0,16933360,19429908,0
114000063,2025-08-07,2 4 7 8 18 25,7,191661067,208440619,0,14859483,16933360,0
114000062,2025-08-04,15 16 22 27 30 32,1,173906004,191661067,0,12665037,14859483,0
114000061,2025-07-31,4 9 18 20 29 31,3,157213712,173906004,0,10601945,12665037,0
114000060,2025-07-28,12 16 18 22 24 36,5,140320956,157213712,0,8514077,10601945,0
114000059,2025-07-24,3 4 7 10 33 38,5,124180317,140320956,0,6519167,8514077,0
114000058,2025-07-21,10 18 20 24 36 38,4,107103491,124180317,0,4408549,6519167,0
114000057,2025-07-17,1 4 6 21 25 28,2,89343417,107103491,0,2213484,4408549,0
114000056,2025-07-14,3 6 19 22 37 38,4,71434317,89343417,0,0,2213484,0
114000055,2025-07-10,1 2 7 14 28 31,2,55149173,71434317,0,6816189,8828959,8828959
114000054,2025-07-07,7 9 14 23 37 38,3,38492071,55149173,0,4757447,6816189,0
114000053,2025-07-03,11 14 20 27 30 38,6,19907390,38492071,0,2460464,4757447,0
114000052,2025-06-30,1 3 9 15 22 27,5,0,19907390,0,0,2460464,0
114000051,2025-06-26,1 7 15 23 26 38,4,1564666416,1738137784,1738137784,0,21440281,2144028
114000050,2025-06-23,6 11 20 31 32 33,6,1405123570,1564666416,0,0,19718778,19718778
114000049,2025-06-19,1 7 20 21 36 38,6,1264361402,1405123570,0,15244595,32642166,16321083
114000048,2025-06-16,4 11 12 18 21 26,3,1141018768,1264361402,0,0,15244595,0
114000047,2025-06-12,5 12 13 15 26 38,5,1031439815,1141018768,0,0,13543466,13543466
114000046,2025-06-09,3 7 9 19 24 31,2,932677214,1031439815,0,9999238,22205851,5551462
114000045,2025-06-05,12 16 20 22 34 35,5,851774283,932677214,0,0,9999238,0
114000044,2025-06-02,1 5 16 18 21 31,2,780660662,851774283,0,13311067,22100390,22100390
