total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
175200.0,-651000.0,-651000,0,0,0,1,3,25,32,280,187,450
159100.0,-667100.0,-667100,0,0,0,0,3,19,40,265,209,476
176100.0,-650100.0,-650100,0,0,0,1,4,14,34,275,203,472
151400.0,-674800.0,-674800,0,0,0,0,2,22,36,259,198,459
169600.0,-656600.0,-656600,0,0,0,1,4,19,33,252,163,474
157100.0,-669100.0,-669100,0,0,0,0,4,18,37,258,196,469
198500.0,-627700.0,-627700,0,0,0,2,2,21,45,262,198,499
216400.0,-609800.0,-609800,0,0,0,3,3,19,33,239,230,461
161600.0,-664600.0,-664600,0,0,0,0,4,16,48,286,210,430
201000.0,-625200.0,-625200,0,0,0,2,3,26,31,281,200,477
157500.0,-668700.0,-668700,0,0,0,0,3,20,42,282,207,431
144300.0,-681900.0,-681900,0,0,0,0,1,15,46,255,199,446
149700.0,-676500.0,-676500,0,0,0,0,1,26,26,257,206,476
205600.0,-620600.0,-620600,0,0,0,2,6,25,32,260,183,462
148400.0,-677800.0,-677800,0,0,0,0,4,18,34,255,168,453
168400.0,-657800.0,-657800,0,0,0,0,4,28,36,287,201,467
145100.0,-681100.0,-681100,0,0,0,0,2,19,37,256,194,427
305900.0,-520300.0,-520300,0,0,1,0,3,17,41,290,213,423
155400.0,-670800.0,-670800,0,0,0,0,2,25,41,256,205,444
162900.0,-663300.0,-663300,0,0,0,1,2,18,24,268,204,433
182500.0,-643700.0,-643700,0,0,0,1,4,20,43,289,193,458
144300.0,-681900.0,-681900,0,0,0,0,1,19,32,262,196,469
150500.0,-675700.0,-675700,0,0,0,0,1,22,45,248,198,465
300500.0,-525700.0,-525700,0,0,1,0,3,19,37,233,216,420
157600.0,-668600.0,-668600,0,0,0,0,4,14,33,280,215,462
170100.0,-656100.0,-656100,0,0,0,1,2,18,50,237,205,430
152200.0,-674000.0,-674000,0,0,0,0,1,24,34,275,204,471
162600.0,-663600.0,-663600,0,0,0,0,2,31,42,232,219,460
162200.0,-664000.0,-664000,0,0,0,1,1,11,34,275,229,425
177900.0,-648300.0,-648300,0,0,0,1,3,23,44,261,190,458
347300.0,-478900.0,-559000,0,0,1,2,3,22,33,283,208,446
338600.0,-487600.0,-532400,0,0,1,1,5,21,51,232,211,460
142800.0,-683400.0,-683400,0,0,0,0,0,25,36,276,182,444
162600.0,-663600.0,-663600,0,0,0,0,4,25,35,270,193,470
167000.0,-659200.0,-659200,0,0,0,1,2,17,37,255,204,443
147500.0,-678700.0,-678700,0,0,0,0,3,14,30,273,197,456
144600.0,-681600.0,-681600,0,0,0,0,3,15,20,260,194,478
149200.0,-677000.0,-677000,0,0,0,0,5,15,30,264,185,418
190200.0,-636000.0,-636000,0,0,0,2,2,21,37,259,201,445
174100.0,-652100.0,-652100,0,0,0,1,4,19,40,245,198,428
171700.0,-654500.0,-654500,0,0,0,1,2,12,38,277,225,462
159200.0,-667000.0,-667000,0,0,0,0,2,25,41,261,209,469
163700.0,-662500.0,-662500,0,0,0,1,2,15,32,267,196,450
312000.0,-514200.0,-514200,0,0,1,0,4,21,43,256,206,452
