cost,prize,profit,draws,max_drawdown,h_jp,h_2nd,h_3rd
117100,35600.0,-81500.0,387,-81500.0,0,0,0
117100,33800.0,-83300.0,387,-83300.0,0,0,0
117100,27800.0,-89300.0,387,-89500.0,0,0,0
117100,28200.0,-88900.0,387,-89100.0,0,0,0
117100,41600.0,-75500.0,387,-75500.0,0,0,0
117100,74739.0,-42361.0,387,-42361.0,0,0,1
117100,33600.0,-83500.0,387,-83500.0,0,0,0
117100,33200.0,-83900.0,387,-83900.0,0,0,0
117100,50788.0,-66312.0,387,-66312.0,0,0,0
117100,40600.0,-76500.0,387,-76500.0,0,0,0
117100,35800.0,-81300.0,387,-81300.0,0,0,0
117100,48400.0,-68700.0,387,-68900.0,0,0,0
117100,42600.0,-74500.0,387,-74500.0,0,0,0
117100,27200.0,-89900.0,387,-90100.0,0,0,0
117100,33400.0,-83700.0,387,-83700.0,0,0,0
117100,37200.0,-79900.0,387,-79900.0,0,0,0
117100,40200.0,-76900.0,387,-76900.0,0,0,0
117100,34000.0,-83100.0,387,-83100.0,0,0,0
117100,43115.0,-73985.0,387,-74185.0,0,0,0
117100,35000.0,-82100.0,387,-82100.0,0,0,0
117100,31800.0,-85300.0,387,-85300.0,0,0,0
117100,32000.0,-85100.0,387,-85100.0,0,0,0
117100,29600.0,-87500.0,387,-87500.0,0,0,0
117100,43958.0,-73142.0,387,-73142.0,0,0,0
117100,29000.0,-88100.0,387,-88100.0,0,0,0
117100,32000.0,-85100.0,387,-85100.0,0,0,0
117100,26400.0,-90700.0,387,-90700.0,0,0,0
117100,27600.0,-89500.0,387,-89500.0,0,0,0
117100,40000.0,-77100.0,387,-77350.0,0,0,0
117100,30600.0,-86500.0,387,-86500.0,0,0,0
117100,33600.0,-83500.0,387,-83700.0,0,0,0
117100,27800.0,-89300.0,387,-89300.0,0,0,0
117100,37200.0,-79900.0,387,-80350.0,0,0,0
117100,49588.0,-67512.0,387,-67512.0,0,0,0
117100,34800.0,-82300.0,387,-82300.0,0,0,0
117100,969649.0,852549.0,387,-10050.0,0,1,0
117100,29400.0,-87700.0,387,-87700.0,0,0,0
117100,29200.0,-87900.0,387,-87900.0,0,0,0
117100,30000.0,-87100.0,387,-87100.0,0,0,0
117100,39000.0,-78100.0,387,-78300.0,0,0,0
117100,32800.0,-84300.0,387,-84500.0,0,0,0
117100,39400.0,-77700.0,387,-77750.0,0,0,0
117100,32600.0,-84500.0,387,-84500.0,0,0,0
117100,34600.0,-82500.0,387,-82500.0,0,0,0
117100,36800.0,-80300.0,387,-80300.0,0,0,0
117100,35200.0,-81900.0,387,-81900.0,0,0,0
117100,32600.0,-84500.0,387,-84500.0,0,0,0
117100,28600.0,-88500.0,387,-88500.0,0,0,0
117100,31600.0,-85500.0,387,-85500.0,0,0,0
117100,44475.0,-72625.0,387,-72625.0,0,0,0
117100,29600.0,-87500.0,387,-87500.0,0,0,0
117100,28000.0,-89100.0,387,-89100.0,0,0,0
117100,29000.0,-88100.0,387,-88100.0,0,0,0
117100,45255.0,-71845.0,387,-71845.0,0,0,0
117100,52630.0,-64470.0,387,-64470.0,0,0,0
117100,28200.0,-88900.0,387,-88900.0,0,0,0
117100,35000.0,-82100.0,387,-82100.0,0,0,0
117100,45206.0,-71894.0,387,-76750.0,0,0,0
117100,36000.0,-81100.0,387,-81100.0,0,0,0
117100,87584.0,-29516.0,387,-60250.0,0,0,1
117100,81628.0,-35472.0,387,-55950.0,0,0,1
117100,73670.0,-43430.0,387,-43430.0,0,0,1
117100,23800.0,-93300.0,387,-93500.0,0,0,0
117100,43200.0,-73900.0,387,-73900.0,0,0,0
117100,36200.0,-80900.0,387,-80900.0,0,0,0
117100,37800.0,-79300.0,387,-79300.0,0,0,0
117100,27800.0,-89300.0,387,-89300.0,0,0,0
117100,34600.0,-82500.0,387,-82500.0,0,0,0
117100,26400.0,-90700.0,387,-90700.0,0,0,0
117100,30000.0,-87100.0,387,-87900.0,0,0,0
117100,30400.0,-86700.0,387,-86700.0,0,0,0
117100,27600.0,-89500.0,387,-89500.0,0,0,0
117100,30000.0,-87100.0,387,-87100.0,0,0,0
117100,38000.0,-79100.0,387,-79100.0,0,0,0
117100,29200.0,-87900.0,387,-87900.0,0,0,0
117100,30200.0,-86900.0,387,-86900.0,0,0,0
117100,33400.0,-83700.0,387,-83700.0,0,0,0
117100,35400.0,-81700.0,387,-81700.0,0,0,0
117100,30000.0,-87100.0,387,-87100.0,0,0,0
117100,39200.0,-77900.0,387,-78100.0,0,0,0
117100,37600.0,-79500.0,387,-79750.0,0,0,0
117100,42400.0,-74700.0,387,-74750.0,0,0,0
117100,29800.0,-87300.0,387,-87500.0,0,0,0
117100,33600.0,-83500.0,387,-83500.0,0,0,0
117100,35600.0,-81500.0,387,-81500.0,0,0,0
117100,27200.0,-89900.0,387,-89900.0,0,0,0
117100,68916.0,-48184.0,387,-48184.0,0,0,0
117100,49658.0,-67442.0,387,-67442.0,0,0,0
117100,33200.0,-83900.0,387,-83900.0,0,0,0
117100,32000.0,-85100.0,387,-85100.0,0,0,0
117100,30400.0,-86700.0,387,-86700.0,0,0,0
117100,30200.0,-86900.0,387,-87100.0,0,0,0
117100,48699.0,-68401.0,387,-68401.0,0,0,0
117100,28800.0,-88300.0,387,-88300.0,0,0,0
117100,27200.0,-89900.0,387,-89900.0,0,0,0
117100,40000.0,-77100.0,387,-77100.0,0,0,0
117100,25800.0,-91300.0,387,-91300.0,0,0,0
117100,30600.0,-86500.0,387,-87050.0,0,0,0
117100,39200.0,-77900.0,387,-77900.0,0,0,0
117100,45181.0,-71919.0,387,-71919.0,0,0,0
117100,30800.0,-86300.0,387,-86500.0,0,0,0
117100,40000.0,-77100.0,387,-77100.0,0,0,0
117100,23600.0,-93500.0,387,-93500.0,0,0,0
117100,38400.0,-78700.0,387,-78900.0,0,0,0
117100,28200.0,-88900.0,387,-88900.0,0,0,0
117100,37600.0,-79500.0,387,-79500.0,0,0,0
117100,28800.0,-88300.0,387,-88300.0,0,0,0
117100,32600.0,-84500.0,387,-84550.0,0,0,0
117100,66402.0,-50698.0,387,-52850.0,0,0,1
117100,42392.0,-74708.0,387,-87750.0,0,0,0
117100,95096.0,-22004.0,387,-23350.0,0,0,1
117100,30200.0,-86900.0,387,-86900.0,0,0,0
117100,28000.0,-89100.0,387,-89100.0,0,0,0
117100,31600.0,-85500.0,387,-85500.0,0,0,0
117100,41400.0,-75700.0,387,-75700.0,0,0,0
117100,57504.0,-59596.0,387,-59596.0,0,0,0
117100,44600.0,-72500.0,387,-72500.0,0,0,0
117100,31800.0,-85300.0,387,-85300.0,0,0,0
117100,30800.0,-86300.0,387,-86300.0,0,0,0
117100,50532.0,-66568.0,387,-66568.0,0,0,0
117100,42000.0,-75100.0,387,-75100.0,0,0,0
117100,27200.0,-89900.0,387,-89900.0,0,0,0
117100,33800.0,-83300.0,387,-83300.0,0,0,0
117100,39200.0,-77900.0,387,-77900.0,0,0,0
117100,30800.0,-86300.0,387,-86300.0,0,0,0
117100,35800.0,-81300.0,387,-81300.0,0,0,0
117100,31800.0,-85300.0,387,-85300.0,0,0,0
117100,88410.0,-28690.0,387,-58100.0,0,0,1
117100,33400.0,-83700.0,387,-84050.0,0,0,0
