cost,prize,profit,draws,h61,h60,h51
87600,18800.0,-68800.0,167,0,0,0
87600,14000.0,-73600.0,167,0,0,0
87600,15200.0,-72400.0,167,0,0,0
87600,14500.0,-73100.0,167,0,0,0
87600,14800.0,-72800.0,167,0,0,0
87600,15900.0,-71700.0,167,0,0,0
87600,19700.0,-67900.0,167,0,0,0
87600,13800.0,-73800.0,167,0,0,0
87600,14300.0,-73300.0,167,0,0,0
87600,15700.0,-71900.0,167,0,0,0
87600,15300.0,-72300.0,167,0,0,0
87600,15100.0,-72500.0,167,0,0,0
87600,12600.0,-75000.0,167,0,0,0
87600,17300.0,-70300.0,167,0,0,0
87600,12400.0,-75200.0,167,0,0,0
87600,14600.0,-73000.0,167,0,0,0
87600,12000.0,-75600.0,167,0,0,0
87600,14200.0,-73400.0,167,0,0,0
87600,14300.0,-73300.0,167,0,0,0
87600,16700.0,-70900.0,167,0,0,0
87600,25000.0,-62600.0,167,0,0,0
87600,15700.0,-71900.0,167,0,0,0
87600,14200.0,-73400.0,167,0,0,0
87600,21800.0,-65800.0,167,0,0,0
87600,18800.0,-68800.0,167,0,0,0
87600,20000.0,-67600.0,167,0,0,0
87600,19100.0,-68500.0,167,0,0,0
87600,14000.0,-73600.0,167,0,0,0
87600,16000.0,-71600.0,167,0,0,0
87600,18100.0,-69500.0,167,0,0,0
87600,15000.0,-72600.0,167,0,0,0
87600,15700.0,-71900.0,167,0,0,0
87600,16800.0,-70800.0,167,0,0,0
87600,15500.0,-72100.0,167,0,0,0
87600,17100.0,-70500.0,167,0,0,0
87600,14200.0,-73400.0,167,0,0,0
87600,13900.0,-73700.0,167,0,0,0
87600,14200.0,-73400.0,167,0,0,0
87600,11900.0,-75700.0,167,0,0,0
87600,13700.0,-73900.0,167,0,0,0
87600,16000.0,-71600.0,167,0,0,0
87600,15900.0,-71700.0,167,0,0,0
87600,14300.0,-73300.0,167,0,0,0
87600,14400.0,-73200.0,167,0,0,0
87600,14900.0,-72700.0,167,0,0,0
87600,18100.0,-69500.0,167,0,0,0
