cost,prize,profit,draws,max_drawdown,h61,h60,h51
92800,19800.0,-73000.0,167,-73000.0,0,0,0
92800,166400.0,73600.0,167,-46700.0,0,0,1
92800,20200.0,-72600.0,167,-72600.0,0,0,0
92800,15600.0,-77200.0,167,-77200.0,0,0,0
92800,18800.0,-74000.0,167,-74000.0,0,0,0
92800,17000.0,-75800.0,167,-75800.0,0,0,0
92800,16600.0,-76200.0,167,-76200.0,0,0,0
92800,36100.0,-56700.0,167,-56700.0,0,0,0
92800,18500.0,-74300.0,167,-74300.0,0,0,0
92800,15900.0,-76900.0,167,-76900.0,0,0,0
92800,15200.0,-77600.0,167,-77600.0,0,0,0
92800,16900.0,-75900.0,167,-75900.0,0,0,0
92800,16500.0,-76300.0,167,-76300.0,0,0,0
92800,19100.0,-73700.0,167,-73700.0,0,0,0
92800,34500.0,-58300.0,167,-58300.0,0,0,0
92800,38700.0,-54100.0,167,-54100.0,0,0,0
92800,16900.0,-75900.0,167,-75900.0,0,0,0
92800,17300.0,-75500.0,167,-75500.0,0,0,0
92800,13700.0,-79100.0,167,-79100.0,0,0,0
92800,18600.0,-74200.0,167,-74200.0,0,0,0
92800,17700.0,-75100.0,167,-75100.0,0,0,0
92800,19100.0,-73700.0,167,-73700.0,0,0,0
92800,21100.0,-71700.0,167,-71700.0,0,0,0
92800,12500.0,-80300.0,167,-80300.0,0,0,0
92800,19500.0,-73300.0,167,-73300.0,0,0,0
92800,19300.0,-73500.0,167,-73500.0,0,0,0
92800,19500.0,-73300.0,167,-73300.0,0,0,0
92800,17900.0,-74900.0,167,-74900.0,0,0,0
92800,13700.0,-79100.0,167,-79100.0,0,0,0
92800,18100.0,-74700.0,167,-74800.0,0,0,0
92800,16100.0,-76700.0,167,-76700.0,0,0,0
92800,14600.0,-78200.0,167,-78200.0,0,0,0
92800,15500.0,-77300.0,167,-77300.0,0,0,0
92800,16400.0,-76400.0,167,-76400.0,0,0,0
92800,19100.0,-73700.0,167,-73700.0,0,0,0
92800,17300.0,-75500.0,167,-75500.0,0,0,0
92800,16900.0,-75900.0,167,-75900.0,0,0,0
92800,16600.0,-76200.0,167,-76200.0,0,0,0
92800,15800.0,-77000.0,167,-77000.0,0,0,0
92800,22900.0,-69900.0,167,-69900.0,0,0,0
92800,13600.0,-79200.0,167,-79200.0,0,0,0
92800,17500.0,-75300.0,167,-75300.0,0,0,0
92800,24200.0,-68600.0,167,-68600.0,0,0,0
92800,16600.0,-76200.0,167,-76200.0,0,0,0
92800,171100.0,78300.0,167,-24200.0,0,0,1
92800,14800.0,-78000.0,167,-78000.0,0,0,0
92800,13900.0,-78900.0,167,-78900.0,0,0,0
92800,18800.0,-74000.0,167,-74000.0,0,0,0
92800,13700.0,-79100.0,167,-79100.0,0,0,0
92800,15300.0,-77500.0,167,-77500.0,0,0,0
92800,44900.0,-47900.0,167,-66200.0,0,0,0
92800,25500.0,-67300.0,167,-67300.0,0,0,0
92800,37400.0,-55400.0,167,-55500.0,0,0,0
92800,13900.0,-78900.0,167,-78900.0,0,0,0
92800,38000.0,-54800.0,167,-54800.0,0,0,0
92800,17000.0,-75800.0,167,-75800.0,0,0,0
92800,16100.0,-76700.0,167,-76700.0,0,0,0
92800,17100.0,-75700.0,167,-75700.0,0,0,0
92800,16700.0,-76100.0,167,-76100.0,0,0,0
92800,16300.0,-76500.0,167,-76500.0,0,0,0
92800,15100.0,-77700.0,167,-77700.0,0,0,0
92800,14100.0,-78700.0,167,-78700.0,0,0,0
92800,21900.0,-70900.0,167,-70900.0,0,0,0
92800,18700.0,-74100.0,167,-74100.0,0,0,0
92800,17800.0,-75000.0,167,-75000.0,0,0,0
92800,21500.0,-71300.0,167,-71300.0,0,0,0
92800,14100.0,-78700.0,167,-78700.0,0,0,0
92800,18000.0,-74800.0,167,-74800.0,0,0,0
92800,16800.0,-76000.0,167,-76000.0,0,0,0
92800,15700.0,-77100.0,167,-77100.0,0,0,0
92800,14700.0,-78100.0,167,-78100.0,0,0,0
92800,14500.0,-78300.0,167,-78300.0,0,0,0
92800,18300.0,-74500.0,167,-74500.0,0,0,0
92800,16300.0,-76500.0,167,-76500.0,0,0,0
92800,18600.0,-74200.0,167,-74200.0,0,0,0
92800,14700.0,-78100.0,167,-78100.0,0,0,0
92800,21000.0,-71800.0,167,-71800.0,0,0,0
92800,14600.0,-78200.0,167,-78200.0,0,0,0
92800,14800.0,-78000.0,167,-78000.0,0,0,0
92800,35200.0,-57600.0,167,-57600.0,0,0,0
92800,14900.0,-77900.0,167,-77900.0,0,0,0
92800,14700.0,-78100.0,167,-78100.0,0,0,0
92800,41200.0,-51600.0,167,-60300.0,0,0,0
92800,15200.0,-77600.0,167,-77600.0,0,0,0
92800,15800.0,-77000.0,167,-77000.0,0,0,0
92800,15600.0,-77200.0,167,-77200.0,0,0,0
92800,15800.0,-77000.0,167,-77000.0,0,0,0
92800,17600.0,-75200.0,167,-75200.0,0,0,0
92800,23100.0,-69700.0,167,-69700.0,0,0,0
92800,15100.0,-77700.0,167,-77700.0,0,0,0
92800,15000.0,-77800.0,167,-77800.0,0,0,0
92800,20800.0,-72000.0,167,-72000.0,0,0,0
92800,16500.0,-76300.0,167,-76300.0,0,0,0
92800,16300.0,-76500.0,167,-76500.0,0,0,0
92800,19400.0,-73400.0,167,-73400.0,0,0,0
92800,20300.0,-72500.0,167,-72500.0,0,0,0
92800,16400.0,-76400.0,167,-76400.0,0,0,0
92800,18400.0,-74400.0,167,-74400.0,0,0,0
92800,14000.0,-78800.0,167,-78800.0,0,0,0
92800,16200.0,-76600.0,167,-76600.0,0,0,0
92800,15900.0,-76900.0,167,-76900.0,0,0,0
92800,15800.0,-77000.0,167,-77000.0,0,0,0
92800,20800.0,-72000.0,167,-72000.0,0,0,0
92800,14000.0,-78800.0,167,-78800.0,0,0,0
92800,17200.0,-75600.0,167,-75600.0,0,0,0
92800,17900.0,-74900.0,167,-74900.0,0,0,0
92800,21000.0,-71800.0,167,-71800.0,0,0,0
92800,24200.0,-68600.0,167,-68600.0,0,0,0
92800,18600.0,-74200.0,167,-74200.0,0,0,0
