total_prize_real,net_profit_real,max_drawdown,total_cost,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
150500.0,-663900.0,-663900,814400,0,0,0,0,3,22,31,238,201,445
161800.0,-652600.0,-652600,814400,0,0,0,1,1,19,30,279,185,457
165400.0,-649000.0,-649000,814400,0,0,0,1,1,19,39,259,206,435
184700.0,-629700.0,-629700,814400,0,0,0,2,3,17,27,254,196,437
161100.0,-653300.0,-653300,814400,0,0,0,0,5,19,40,265,178,478
151300.0,-663100.0,-663100,814400,0,0,0,0,4,15,40,258,190,435
340000.0,-474400.0,-474400,814400,0,0,1,2,3,9,39,274,219,440
314600.0,-499800.0,-599300,814400,0,0,1,0,4,24,44,241,193,491
159000.0,-655400.0,-655400,814400,0,0,0,1,0,21,38,238,187,458
178800.0,-635600.0,-635600,814400,0,0,0,1,5,14,45,229,203,461
147100.0,-667300.0,-667300,814400,0,0,0,0,3,20,28,245,198,438
155800.0,-658600.0,-658600,814400,0,0,0,0,2,23,48,247,204,447
303300.0,-511100.0,-511100,814400,0,0,1,0,3,18,35,279,206,438
153200.0,-661200.0,-661200,814400,0,0,0,0,3,22,42,254,186,442
148800.0,-665600.0,-665600,814400,0,0,0,0,2,21,33,284,174,476
170500.0,-643900.0,-657900,814400,0,0,0,1,2,12,44,285,219,430
159500.0,-654900.0,-654900,814400,0,0,0,1,1,19,33,249,199,424
159800.0,-654600.0,-654600,814400,0,0,0,0,5,25,36,278,175,426
319500.0,-494900.0,-494900,814400,0,0,1,1,3,15,38,255,196,456
156700.0,-657700.0,-657700,814400,0,0,0,0,2,22,40,253,214,470
155600.0,-658800.0,-658800,814400,0,0,0,0,4,16,40,260,209,430
169100.0,-645300.0,-645300,814400,0,0,0,1,3,15,36,255,181,490
148600.0,-665800.0,-665800,814400,0,0,0,0,4,14,40,250,191,422
184300.0,-630100.0,-630100,814400,0,0,0,2,1,22,42,239,199,422
169400.0,-645000.0,-645000,814400,0,0,0,0,5,28,44,257,211,415
155000.0,-659400.0,-659400,814400,0,0,0,0,3,16,41,261,192,493
152100.0,-662300.0,-662300,814400,0,0,0,0,1,26,42,260,177,491
149500.0,-664900.0,-664900,814400,0,0,0,0,4,16,31,259,185,454
160200.0,-654200.0,-654200,814400,0,0,0,0,3,20,45,251,225,441
138800.0,-675600.0,-675600,814400,0,0,0,0,1,18,32,257,189,441
145100.0,-669300.0,-669300,814400,0,0,0,0,2,17,33,240,193,477
145200.0,-669200.0,-669200,814400,0,0,0,0,3,16,41,265,177,421
143400.0,-671000.0,-671000,814400,0,0,0,0,1,16,35,262,191,482
177100.0,-637300.0,-637300,814400,0,0,0,1,2,23,38,263,226,440
295600.0,-518800.0,-518800,814400,0,0,1,0,3,14,29,265,199,445
188900.0,-625500.0,-625500,814400,0,0,0,2,3,19,33,246,197,445
170600.0,-643800.0,-643800,814400,0,0,0,0,5,28,37,256,200,478
163500.0,-650900.0,-650900,814400,0,0,0,1,2,16,31,255,199,450
172500.0,-641900.0,-641900,814400,0,0,0,1,3,20,43,240,184,465
173100.0,-641300.0,-641300,814400,0,0,0,1,3,19,33,255,189,494
197900.0,-616500.0,-616500,814400,0,0,0,2,4,22,37,247,202,444
177600.0,-636800.0,-636800,814400,0,0,0,1,6,16,29,250,194,454
178000.0,-636400.0,-636400,814400,0,0,0,1,4,22,25,264,203,474
168100.0,-646300.0,-646300,814400,0,0,0,0,7,25,34,222,209,425
189400.0,-625000.0,-625000,814400,0,0,0,1,5,27,33,254,204,484
149000.0,-665400.0,-665400,814400,0,0,0,0,3,16,33,266,193,458
155900.0,-658500.0,-658500,814400,0,0,0,0,3,23,37,247,200,460
176500.0,-637900.0,-637900,814400,0,0,0,1,3,27,33,246,205,441
192100.0,-622300.0,-622300,814400,0,0,0,2,1,29,30,263,199,468
296900.0,-517500.0,-517500,814400,0,0,1,0,2,17,40,253,198,444
166100.0,-648300.0,-648300,814400,0,0,0,1,2,19,34,246,209,429
196500.0,-617900.0,-617900,814400,0,0,0,2,5,14,36,248,213,435
183700.0,-630700.0,-630700,814400,0,0,0,2,3,18,35,234,183,433
157200.0,-657200.0,-657200,814400,0,0,0,1,1,14,40,248,190,432
149300.0,-665100.0,-665100,814400,0,0,0,0,3,15,40,265,196,436
149200.0,-665200.0,-665200,814400,0,0,0,0,3,17,28,254,212,446
193900.0,-620500.0,-620500,814400,0,0,0,2,4,17,41,236,202,439
144100.0,-670300.0,-670300,814400,0,0,0,0,1,25,32,251,185,452
3874703.0,3060303.0,-544300,814400,0,1,0,0,2,23,25,268,222,427
136900.0,-677500.0,-677500,814400,0,0,0,0,0,20,34,272,187,427
175400.0,-639000.0,-639000,814400,0,0,0,1,4,18,55,229,187,427
190500.0,-623900.0,-623900,814400,0,0,0,2,3,21,35,246,185,461
149500.0,-664900.0,-664900,814400,0,0,0,0,1,25,36,283,201,426
149500.0,-664900.0,-664900,814400,0,0,0,0,2,28,36,246,182,437
170300.0,-644100.0,-644100,814400,0,0,0,1,3,17,35,255,216,420
155500.0,-658900.0,-658900,814400,0,0,0,0,4,20,36,255,196,444
158800.0,-655600.0,-655600,814400,0,0,0,0,2,22,47,231,220,473
285100.0,-529300.0,-529300,814400,0,0,1,0,1,14,30,261,182,454
146700.0,-667700.0,-667700,814400,0,0,0,0,3,14,32,237,204,462
176800.0,-637600.0,-637800,814400,0,0,0,1,2,24,46,249,213,437
131600.0,-682800.0,-682800,814400,0,0,0,0,0,21,32,231,175,439
156400.0,-658000.0,-658000,814400,0,0,0,0,2,30,38,228,201,462
155400.0,-659000.0,-659000,814400,0,0,0,0,3,19,35,241,218,465
149600.0,-664800.0,-664800,814400,0,0,0,0,2,22,41,272,182,440
149400.0,-665000.0,-665000,814400,0,0,0,0,4,17,46,240,176,422
141800.0,-672600.0,-672600,814400,0,0,0,0,1,15,40,223,204,467
149700.0,-664700.0,-664700,814400,0,0,0,0,3,23,27,252,197,439
315500.0,-498900.0,-498900,814400,0,0,1,0,5,23,36,262,199,467
144700.0,-669700.0,-669700,814400,0,0,0,0,1,27,29,266,196,417
169600.0,-644800.0,-644800,814400,0,0,0,1,1,23,41,251,200,457
155300.0,-659100.0,-659100,814400,0,0,0,0,5,15,36,247,185,472
169400.0,-645000.0,-645000,814400,0,0,0,1,3,15,32,283,204,435
325500.0,-488900.0,-488900,814400,0,0,1,1,3,24,35,231,213,446
294100.0,-520300.0,-520300,814400,0,0,1,0,0,24,35,246,194,475
162600.0,-651800.0,-651800,814400,0,0,0,1,2,15,34,252,186,466
152100.0,-662300.0,-662300,814400,0,0,0,0,4,15,50,246,182,431
167800.0,-646600.0,-665600,814400,0,0,0,1,5,9,33,255,191,437
172800.0,-641600.0,-641600,814400,0,0,0,1,2,21,37,274,193,472
310000.0,-504400.0,-504400,814400,0,0,1,0,4,21,42,255,187,475
157100.0,-657300.0,-657300,814400,0,0,0,0,5,19,45,256,191,401
158000.0,-656400.0,-656900,814400,0,0,0,0,3,18,40,267,222,445
158000.0,-656400.0,-656400,814400,0,0,0,0,5,17,37,238,195,468
161800.0,-652600.0,-652600,814400,0,0,0,0,5,18,42,235,210,451
156900.0,-657500.0,-657500,814400,0,0,0,0,5,14,39,259,216,410
144100.0,-670300.0,-670300,814400,0,0,0,0,2,17,41,255,195,416
155000.0,-659400.0,-659400,814400,0,0,0,0,5,18,24,274,205,426
157000.0,-657400.0,-657400,814400,0,0,0,0,4,21,38,253,184,469
155700.0,-658700.0,-658700,814400,0,0,0,0,5,15,37,273,192,432
150000.0,-664400.0,-664400,814400,0,0,0,0,4,16,36,228,208,424
166900.0,-647500.0,-647500,814400,0,0,0,0,7,20,33,255,206,430
171400.0,-643000.0,-643000,814400,0,0,0,1,2,22,41,263,191,449
172100.0,-642300.0,-642300,814400,0,0,0,1,3,19,32,257,200,464
146800.0,-667600.0,-667600,814400,0,0,0,0,1,18,39,243,207,471
329000.0,-485400.0,-485400,814400,0,0,1,2,1,13,29,281,202,445
169100.0,-645300.0,-645300,814400,0,0,0,1,3,15,30,267,208,448
141800.0,-672600.0,-672600,814400,0,0,0,0,2,20,35,249,184,421
157600.0,-656800.0,-656800,814400,0,0,0,0,4,22,39,226,204,450
178000.0,-636400.0,-652900,814400,0,0,0,2,0,17,30,238,212,462
134900.0,-679500.0,-679500,814400,0,0,0,0,0,17,26,279,196,438
141600.0,-672800.0,-672800,814400,0,0,0,0,1,20,26,248,209,446
152000.0,-662400.0,-662400,814400,0,0,0,0,3,21,38,242,214,410
168000.0,-646400.0,-646400,814400,0,0,0,1,2,21,27,271,194,465
166300.0,-648100.0,-648100,814400,0,0,0,1,2,17,35,249,216,426
144400.0,-670000.0,-670000,814400,0,0,0,0,2,24,31,245,187,429
170100.0,-644300.0,-644300,814400,0,0,0,1,2,26,34,233,210,424
155100.0,-659300.0,-659300,814400,0,0,0,0,3,28,35,259,199,410
177300.0,-637100.0,-637100,814400,0,0,0,1,2,25,33,272,212,465
147400.0,-667000.0,-667000,814400,0,0,0,0,3,18,45,255,190,395
189900.0,-624500.0,-624500,814400,0,0,0,2,2,22,36,237,203,456
145300.0,-669100.0,-669100,814400,0,0,0,0,1,15,28,242,230,479
180800.0,-633600.0,-633600,814400,0,0,0,1,3,28,28,273,204,471
152600.0,-661800.0,-661800,814400,0,0,0,0,1,28,40,268,189,456
179000.0,-635400.0,-635400,814400,0,0,0,1,3,25,39,239,211,453
153100.0,-661300.0,-661300,814400,0,0,0,0,2,20,47,255,204,440
151200.0,-663200.0,-663200,814400,0,0,0,0,1,22,52,254,198,438
149400.0,-665000.0,-665000,814400,0,0,0,0,2,17,34,258,220,444
195000.0,-619400.0,-619400,814400,0,0,0,2,2,20,47,246,208,460
155600.0,-658800.0,-658800,814400,0,0,0,0,2,20,42,240,221,466
296700.0,-517700.0,-517700,814400,0,0,1,0,2,16,32,265,205,456
171400.0,-643000.0,-643000,814400,0,0,0,1,2,20,35,233,219,463
168000.0,-646400.0,-646400,814400,0,0,0,1,1,23,40,246,203,444
151400.0,-663000.0,-663000,814400,0,0,0,0,3,26,33,236,192,434
145200.0,-669200.0,-669300,814400,0,0,0,0,3,15,27,274,197,436
139200.0,-675200.0,-675200,814400,0,0,0,0,1,17,28,248,208,440
206200.0,-608200.0,-608200,814400,0,0,0,2,6,24,29,245,204,461
136700.0,-677700.0,-677700,814400,0,0,0,0,1,16,33,243,215,394
143700.0,-670700.0,-670700,814400,0,0,0,0,1,13,55,267,196,414
186400.0,-628000.0,-628000,814400,0,0,0,1,3,30,39,247,213,475
157400.0,-657000.0,-657000,814400,0,0,0,1,0,21,38,247,187,433
156700.0,-657700.0,-657700,814400,0,0,0,0,3,23,43,245,203,440
142400.0,-672000.0,-672000,814400,0,0,0,0,1,17,35,255,193,467
154700.0,-659700.0,-659700,814400,0,0,0,0,4,22,33,255,192,440
144400.0,-670000.0,-670000,814400,0,0,0,0,1,21,40,246,198,434
144800.0,-669600.0,-669600,814400,0,0,0,0,1,18,36,260,198,464
170900.0,-643500.0,-643500,814400,0,0,0,1,3,23,30,256,194,441
176300.0,-638100.0,-650500,814400,0,0,0,2,0,19,29,261,204,426
135800.0,-678600.0,-678600,814400,0,0,0,0,0,16,28,282,194,448
197700.0,-616700.0,-616700,814400,0,0,0,2,3,22,35,237,213,478
148400.0,-666000.0,-666000,814400,0,0,0,0,1,21,40,234,224,434
140500.0,-673900.0,-673900,814400,0,0,0,0,1,22,22,276,198,429
163400.0,-651000.0,-651000,814400,0,0,0,1,0,23,40,259,201,429
150500.0,-663900.0,-663900,814400,0,0,0,0,2,19,31,249,203,494
154100.0,-660300.0,-660300,814400,0,0,0,0,1,24,45,263,204,458
147000.0,-667400.0,-667400,814400,0,0,0,0,3,12,48,237,192,441
144000.0,-670400.0,-670400,814400,0,0,0,0,2,12,41,238,202,458
178100.0,-636300.0,-636300,814400,0,0,0,1,3,21,38,273,204,460
307100.0,-507300.0,-507300,814400,0,0,1,0,4,19,33,259,206,456
183100.0,-631300.0,-631300,814400,0,0,0,1,4,21,45,281,190,462
318800.0,-495600.0,-495600,814400,0,0,1,1,3,21,30,256,197,430
142500.0,-671900.0,-671900,814400,0,0,0,0,1,26,26,260,177,459
153200.0,-661200.0,-661200,814400,0,0,0,0,4,22,41,248,178,428
170800.0,-643600.0,-643600,814400,0,0,0,1,2,20,40,262,203,440
198500.0,-615900.0,-615900,814400,0,0,0,2,5,16,29,267,204,466
180100.0,-634300.0,-634300,814400,0,0,0,1,2,28,44,270,194,463
151300.0,-663100.0,-663100,814400,0,0,0,0,3,17,42,232,204,449
150700.0,-663700.0,-663700,814400,0,0,0,0,2,22,38,222,211,455
140400.0,-674000.0,-674000,814400,0,0,0,0,2,19,31,230,177,464
196400.0,-618000.0,-618000,814400,0,0,0,2,3,21,39,241,213,453
154000.0,-660400.0,-660400,814400,0,0,0,0,3,20,35,277,192,459
158800.0,-655600.0,-655600,814400,0,0,0,0,3,26,47,222,208,434
178600.0,-635800.0,-635800,814400,0,0,0,1,6,19,22,229,210,457
158600.0,-655800.0,-655800,814400,0,0,0,0,2,18,38,267,230,483
155900.0,-658500.0,-658500,814400,0,0,0,0,5,18,38,261,184,434
191500.0,-622900.0,-622900,814400,0,0,0,2,4,12,38,246,222,417
153600.0,-660800.0,-660800,814400,0,0,0,0,1,18,31,305,220,483
144600.0,-669800.0,-669800,814400,0,0,0,0,2,16,28,284,198,446
167000.0,-647400.0,-647400,814400,0,0,0,0,4,26,51,263,198,439
157100.0,-657300.0,-657300,814400,0,0,0,0,3,22,44,260,203,433
142100.0,-672300.0,-672300,814400,0,0,0,0,2,15,45,258,183,417
152500.0,-661900.0,-661900,814400,0,0,0,0,3,20,39,269,174,472
158100.0,-656300.0,-656300,814400,0,0,0,0,4,20,34,225,214,472
153000.0,-661400.0,-661400,814400,0,0,0,0,4,20,38,281,182,413
158700.0,-655700.0,-655700,814400,0,0,0,0,5,18,39,257,195,440
145500.0,-668900.0,-668900,814400,0,0,0,0,2,17,46,242,178,457
153500.0,-660900.0,-660900,814400,0,0,0,0,2,26,47,236,191,441
170200.0,-644200.0,-644200,814400,0,0,0,1,5,17,31,247,173,449
172700.0,-641700.0,-641700,814400,0,0,0,1,4,19,35,225,198,454
143100.0,-671300.0,-671300,814400,0,0,0,0,2,16,25,280,203,437
159100.0,-655300.0,-655300,814400,0,0,0,0,3,17,46,267,222,440
177300.0,-637100.0,-637100,814400,0,0,0,1,5,19,33,259,195,440
198300.0,-616100.0,-620300,814400,0,0,0,2,4,15,45,291,188,456
148200.0,-666200.0,-666200,814400,0,0,0,0,3,22,31,273,183,423
140300.0,-674100.0,-674100,814400,0,0,0,0,2,17,37,223,201,414
150700.0,-663700.0,-663700,814400,0,0,0,0,2,25,27,265,208,438
182600.0,-631800.0,-631800,814400,0,0,0,2,2,15,27,248,195,480
177800.0,-636600.0,-636600,814400,0,0,0,1,3,18,35,253,223,475
152600.0,-661800.0,-661800,814400,0,0,0,0,2,19,36,253,223,451
145400.0,-669000.0,-669000,814400,0,0,0,0,1,19,32,263,210,451
163400.0,-651000.0,-651000,814400,0,0,0,1,3,16,29,260,176,458
313800.0,-500600.0,-500600,814400,0,0,1,1,3,23,25,228,177,452
141300.0,-673100.0,-673100,814400,0,0,0,0,1,11,46,254,195,457
140200.0,-674200.0,-674200,814400,0,0,0,0,1,18,37,254,190,436
138500.0,-675900.0,-675900,814400,0,0,0,0,1,17,27,255,197,452
298700.0,-515700.0,-515700,814400,0,0,1,0,1,21,40,274,216,413
163800.0,-650600.0,-650600,814400,0,0,0,1,0,25,35,263,192,451
151900.0,-662500.0,-662500,814400,0,0,0,0,2,22,32,270,202,461
150500.0,-663900.0,-663900,814400,0,0,0,0,2,22,35,231,216,446
299000.0,-515400.0,-515400,814400,0,0,1,0,3,22,43,256,176,414
139900.0,-674500.0,-674500,814400,0,0,0,0,1,23,35,259,184,408
189900.0,-624500.0,-624500,814400,0,0,0,2,3,18,39,242,202,433
182700.0,-631700.0,-631700,814400,0,0,0,1,5,23,37,267,208,412
139000.0,-675400.0,-675400,814400,0,0,0,0,0,24,34,243,177,465
