cost,prize,profit,draws,h61,h60,h51
214500,36500.0,-178000.0,1384,0,0,0
214500,37200.0,-177300.0,1384,0,0,0
214500,44100.0,-170400.0,1384,0,0,0
214500,38600.0,-175900.0,1384,0,0,0
214500,42900.0,-171600.0,1384,0,0,0
214500,40200.0,-174300.0,1384,0,0,0
214500,41500.0,-173000.0,1384,0,0,0
214500,45200.0,-169300.0,1384,0,0,0
214500,38400.0,-176100.0,1384,0,0,0
214500,37300.0,-177200.0,1384,0,0,0
214500,40100.0,-174400.0,1384,0,0,0
214500,38500.0,-176000.0,1384,0,0,0
214500,35700.0,-178800.0,1384,0,0,0
214500,43200.0,-171300.0,1384,0,0,0
214500,44200.0,-170300.0,1384,0,0,0
214500,37500.0,-177000.0,1384,0,0,0
214500,47900.0,-166600.0,1384,0,0,0
214500,36900.0,-177600.0,1384,0,0,0
214500,43700.0,-170800.0,1384,0,0,0
214500,42500.0,-172000.0,1384,0,0,0
214500,45000.0,-169500.0,1384,0,0,0
214500,67500.0,-147000.0,1384,0,0,0
214500,42000.0,-172500.0,1384,0,0,0
214500,37600.0,-176900.0,1384,0,0,0
214500,43500.0,-171000.0,1384,0,0,0
214500,55100.0,-159400.0,1384,0,0,0
214500,222000.0,7500.0,1384,0,0,1
214500,37000.0,-177500.0,1384,0,0,0
214500,33200.0,-181300.0,1384,0,0,0
214500,38400.0,-176100.0,1384,0,0,0
214500,39800.0,-174700.0,1384,0,0,0
214500,40800.0,-173700.0,1384,0,0,0
214500,41000.0,-173500.0,1384,0,0,0
214500,44200.0,-170300.0,1384,0,0,0
214500,35300.0,-179200.0,1384,0,0,0
214500,38100.0,-176400.0,1384,0,0,0
214500,55900.0,-158600.0,1384,0,0,0
214500,38500.0,-176000.0,1384,0,0,0
214500,38100.0,-176400.0,1384,0,0,0
214500,35500.0,-179000.0,1384,0,0,0
214500,54600.0,-159900.0,1384,0,0,0
214500,37300.0,-177200.0,1384,0,0,0
214500,44200.0,-170300.0,1384,0,0,0
214500,34200.0,-180300.0,1384,0,0,0
214500,35200.0,-179300.0,1384,0,0,0
214500,38200.0,-176300.0,1384,0,0,0
214500,63500.0,-151000.0,1384,0,0,0
214500,43300.0,-171200.0,1384,0,0,0
214500,79000.0,-135500.0,1384,0,0,0
214500,42200.0,-172300.0,1384,0,0,0
214500,54500.0,-160000.0,1384,0,0,0
214500,42500.0,-172000.0,1384,0,0,0
214500,43000.0,-171500.0,1384,0,0,0
214500,35200.0,-179300.0,1384,0,0,0
214500,30000.0,-184500.0,1384,0,0,0
214500,55300.0,-159200.0,1384,0,0,0
214500,31900.0,-182600.0,1384,0,0,0
214500,43100.0,-171400.0,1384,0,0,0
214500,38000.0,-176500.0,1384,0,0,0
214500,45500.0,-169000.0,1384,0,0,0
214500,43700.0,-170800.0,1384,0,0,0
214500,35900.0,-178600.0,1384,0,0,0
214500,36800.0,-177700.0,1384,0,0,0
214500,37000.0,-177500.0,1384,0,0,0
214500,186200.0,-28300.0,1384,0,0,1
214500,34400.0,-180100.0,1384,0,0,0
214500,64800.0,-149700.0,1384,0,0,0
214500,33100.0,-181400.0,1384,0,0,0
214500,41700.0,-172800.0,1384,0,0,0
214500,34300.0,-180200.0,1384,0,0,0
214500,34900.0,-179600.0,1384,0,0,0
214500,97400.0,-117100.0,1384,0,0,0
214500,68500.0,-146000.0,1384,0,0,0
214500,40700.0,-173800.0,1384,0,0,0
214500,37500.0,-177000.0,1384,0,0,0
214500,36800.0,-177700.0,1384,0,0,0
214500,64400.0,-150100.0,1384,0,0,0
214500,45500.0,-169000.0,1384,0,0,0
214500,37600.0,-176900.0,1384,0,0,0
214500,36100.0,-178400.0,1384,0,0,0
214500,41100.0,-173400.0,1384,0,0,0
214500,55600.0,-158900.0,1384,0,0,0
214500,41700.0,-172800.0,1384,0,0,0
214500,188100.0,-26400.0,1384,0,0,1
214500,58100.0,-156400.0,1384,0,0,0
214500,55900.0,-158600.0,1384,0,0,0
214500,35300.0,-179200.0,1384,0,0,0
214500,40200.0,-174300.0,1384,0,0,0
214500,37300.0,-177200.0,1384,0,0,0
214500,40500.0,-174000.0,1384,0,0,0
214500,38100.0,-176400.0,1384,0,0,0
214500,39300.0,-175200.0,1384,0,0,0
214500,36600.0,-177900.0,1384,0,0,0
214500,55500.0,-159000.0,1384,0,0,0
214500,43700.0,-170800.0,1384,0,0,0
214500,41000.0,-173500.0,1384,0,0,0
214500,48400.0,-166100.0,1384,0,0,0
214500,66300.0,-148200.0,1384,0,0,0
214500,39700.0,-174800.0,1384,0,0,0
