total_prize_fixed,total_prize_real,net_profit_fixed,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
146000,146000.0,-668400,-668400.0,-668400,0,0,0,0,2,22,30,241,200,443
165000,165000.0,-649400,-649400.0,-649400,0,0,0,1,2,17,31,283,189,449
167900,167900.0,-646500,-646500.0,-646500,0,0,0,1,1,22,39,264,205,433
183900,183900.0,-630500,-630500.0,-630500,0,0,0,2,4,11,29,260,187,441
158900,158900.0,-655500,-655500.0,-655500,0,0,0,0,4,22,40,261,180,472
151600,151600.0,-662800,-662800.0,-662800,0,0,0,0,4,14,39,262,189,448
337900,337900.0,-476500,-476500.0,-476500,0,0,1,2,3,8,39,257,217,448
170100,170100.0,-644300,-644300.0,-644300,0,0,0,0,5,27,40,244,194,493
183800,183800.0,-630600,-630600.0,-630600,0,0,0,2,1,21,40,237,195,443
183700,183700.0,-630700,-630700.0,-630700,0,0,0,1,6,16,40,235,205,464
143900,143900.0,-670500,-670500.0,-670500,0,0,0,0,2,18,32,254,194,445
153500,153500.0,-660900,-660900.0,-660900,0,0,0,0,2,21,47,246,206,441
156000,156000.0,-658400,-658400.0,-658400,0,0,0,0,5,14,33,270,203,440
170400,170400.0,-644000,-644000.0,-644000,0,0,0,1,3,19,39,258,186,446
146500,146500.0,-667900,-667900.0,-667900,0,0,0,0,2,18,32,284,176,477
169900,169900.0,-644500,-644500.0,-658600,0,0,0,1,3,7,40,289,218,438
157700,157700.0,-656700,-656700.0,-656700,0,0,0,1,0,20,34,255,206,414
155700,155700.0,-658700,-658700.0,-658700,0,0,0,0,4,24,36,276,182,421
300200,300200.0,-514200,-514200.0,-514200,0,0,1,0,3,14,42,260,183,476
151600,151600.0,-662800,-662800.0,-662800,0,0,0,0,1,21,40,249,214,471
152700,152700.0,-661700,-661700.0,-661700,0,0,0,0,3,17,40,260,212,427
169200,169200.0,-645200,-645200.0,-645200,0,0,0,1,3,14,37,252,185,490
169200,169200.0,-645200,-645200.0,-645200,0,0,0,1,4,13,40,265,192,419
183400,183400.0,-631000,-631000.0,-631000,0,0,0,2,0,24,42,249,199,427
167300,167300.0,-647100,-647100.0,-647100,0,0,0,0,5,23,49,269,201,422
155800,155800.0,-658600,-658600.0,-658600,0,0,0,0,3,17,39,262,198,488
156500,156500.0,-657900,-657900.0,-657900,0,0,0,0,2,27,42,259,180,482
143800,143800.0,-670600,-670600.0,-670600,0,0,0,0,2,17,34,262,187,450
311900,311900.0,-502500,-502500.0,-502500,0,0,1,0,4,17,40,269,228,438
137400,137400.0,-677000,-677000.0,-677000,0,0,0,0,1,19,30,248,191,432
163300,163300.0,-651100,-651100.0,-651100,0,0,0,1,2,18,30,230,192,475
140600,140600.0,-673800,-673800.0,-673800,0,0,0,0,2,16,40,252,178,430
145100,145100.0,-669300,-669300.0,-669300,0,0,0,0,1,19,36,259,183,490
177200,177200.0,-637200,-637200.0,-637200,0,0,0,1,2,21,41,268,223,446
296300,296300.0,-518100,-518100.0,-518100,0,0,1,0,3,16,29,266,189,455
167000,167000.0,-647400,-647400.0,-647400,0,0,0,1,2,19,37,251,196,447
169400,169400.0,-645000,-645000.0,-645000,0,0,0,0,5,27,38,256,205,460
165600,165600.0,-648800,-648800.0,-648800,0,0,0,1,2,18,32,255,195,459
173100,173100.0,-641300,-641300.0,-641300,0,0,0,1,3,20,44,238,188,461
148000,148000.0,-666400,-666400.0,-666400,0,0,0,0,2,17,32,262,192,490
197400,197400.0,-617000,-617000.0,-617000,0,0,0,2,4,21,32,251,212,443
182900,182900.0,-631500,-631500.0,-631500,0,0,0,1,7,19,25,249,199,450
195700,195700.0,-618700,-618700.0,-618700,0,0,0,2,4,22,25,259,196,470
170900,170900.0,-643500,-643500.0,-643500,0,0,0,0,7,25,39,236,200,437
175400,175400.0,-639000,-639000.0,-639000,0,0,0,0,6,28,41,247,199,481
145800,145800.0,-668600,-668600.0,-668600,0,0,0,0,2,16,32,263,195,469
161400,161400.0,-653000,-653000.0,-653000,0,0,0,0,4,25,35,246,207,454
170600,170600.0,-643800,-643800.0,-643800,0,0,0,1,2,24,34,247,209,433
188900,188900.0,-625500,-625500.0,-625500,0,0,0,2,1,25,27,270,197,477
151600,151600.0,-662800,-662800.0,-662800,0,0,0,0,3,18,43,251,191,447
166900,166900.0,-647500,-647500.0,-647500,0,0,0,1,2,21,34,238,208,431
173600,173600.0,-640800,-640800.0,-640800,0,0,0,1,4,14,32,263,226,421
182000,182000.0,-632400,-632400.0,-632400,0,0,0,2,3,16,33,234,190,426
155300,155300.0,-659100,-659100.0,-659100,0,0,0,1,1,13,33,252,201,423
141000,141000.0,-673400,-673400.0,-673400,0,0,0,0,1,13,39,272,201,436
153700,153700.0,-660700,-660700.0,-660700,0,0,0,0,4,18,24,261,219,438
187300,187300.0,-627100,-627100.0,-627100,0,0,0,2,3,13,39,247,201,444
143700,143700.0,-670700,-670700.0,-670700,0,0,0,0,1,24,33,254,184,451
149200,3873603.0,-665200,3059203.0,-544400,0,1,0,0,2,22,26,271,215,431
136300,136300.0,-678100,-678100.0,-678100,0,0,0,0,0,20,31,261,197,424
299000,299000.0,-515400,-515400.0,-558900,0,0,1,0,2,20,54,232,188,426
185500,185500.0,-628900,-628900.0,-628900,0,0,0,2,2,19,33,247,189,466
148500,148500.0,-665900,-665900.0,-665900,0,0,0,0,1,25,35,275,198,434
151100,151100.0,-663300,-663300.0,-663300,0,0,0,0,2,27,37,264,183,437
186800,186800.0,-627600,-627600.0,-627600,0,0,0,2,2,16,38,259,215,419
299000,299000.0,-515400,-515400.0,-515400,0,0,1,0,2,22,37,251,195,445
158600,158600.0,-655800,-655800.0,-655800,0,0,0,0,2,21,45,236,234,454
285800,285800.0,-528600,-528600.0,-528600,0,0,1,0,1,16,27,252,184,462
146400,146400.0,-668000,-668000.0,-668000,0,0,0,0,3,14,29,247,205,459
173600,173600.0,-640800,-640800.0,-641100,0,0,0,1,2,22,45,244,214,428
174900,174900.0,-639500,-639500.0,-639500,0,0,0,2,2,16,31,238,172,435
154100,154100.0,-660300,-660300.0,-660300,0,0,0,0,2,28,40,223,198,458
151200,151200.0,-663200,-663200.0,-663200,0,0,0,0,2,17,37,256,212,468
146500,146500.0,-667900,-667900.0,-667900,0,0,0,0,2,19,38,278,181,441
150400,150400.0,-664000,-664000.0,-664000,0,0,0,0,4,18,44,235,184,421
141700,141700.0,-672700,-672700.0,-672700,0,0,0,0,1,14,37,224,219,455
150200,150200.0,-664200,-664200.0,-664200,0,0,0,0,3,23,28,254,196,440
333100,333100.0,-481300,-481300.0,-481300,0,0,1,1,5,21,37,261,197,460
163900,163900.0,-650500,-650500.0,-650500,0,0,0,1,1,24,29,262,199,431
168400,168400.0,-646000,-646000.0,-646000,0,0,0,1,1,22,37,252,204,460
149500,149500.0,-664900,-664900.0,-664900,0,0,0,0,4,12,38,245,190,462
175000,175000.0,-639400,-639400.0,-639400,0,0,0,1,4,16,31,290,207,434
305300,305300.0,-509100,-509100.0,-509100,0,0,1,0,3,23,35,242,213,441
295600,295600.0,-518800,-518800.0,-518800,0,0,1,0,0,26,33,246,200,470
164300,164300.0,-650100,-650100.0,-650100,0,0,0,1,2,16,39,246,184,465
152600,152600.0,-661800,-661800.0,-661800,0,0,0,0,3,19,54,241,181,435
149600,149600.0,-664800,-664800.0,-664800,0,0,0,0,5,10,35,251,198,429
156100,156100.0,-658300,-658300.0,-658300,0,0,0,0,2,25,39,268,195,467
308100,308100.0,-506300,-506300.0,-506300,0,0,1,0,4,21,41,243,191,464
159600,159600.0,-654800,-654800.0,-654800,0,0,0,0,5,22,42,255,196,405
159700,159700.0,-654700,-654700.0,-655100,0,0,0,0,4,14,41,272,214,461
150200,150200.0,-664200,-664200.0,-664200,0,0,0,0,3,18,34,242,196,468
180800,180800.0,-633600,-633600.0,-633600,0,0,0,1,5,17,43,234,206,454
158600,158600.0,-655800,-655800.0,-655800,0,0,0,0,5,17,40,251,204,431
143000,143000.0,-671400,-671400.0,-671400,0,0,0,0,1,19,42,261,193,423
151600,151600.0,-662800,-662800.0,-662800,0,0,0,0,4,19,23,270,206,430
156600,156600.0,-657800,-657800.0,-657800,0,0,0,0,4,22,37,244,183,472
156000,156000.0,-658400,-658400.0,-658400,0,0,0,0,5,17,37,266,183,444
152900,152900.0,-661500,-661500.0,-661500,0,0,0,0,4,19,40,226,201,429
153200,153200.0,-661200,-661200.0,-661200,0,0,0,0,4,16,35,263,205,431
179600,179600.0,-634800,-634800.0,-634800,0,0,0,1,4,24,39,249,196,447
166300,166300.0,-648100,-648100.0,-648100,0,0,0,1,1,20,33,262,209,451
152900,152900.0,-661500,-661500.0,-661500,0,0,0,0,2,20,39,250,209,465
328000,328000.0,-486400,-486400.0,-486400,0,0,1,2,1,12,31,287,192,449
176200,176200.0,-638200,-638200.0,-638200,0,0,0,1,4,19,33,265,201,451
135100,135100.0,-679300,-679300.0,-679300,0,0,0,0,1,15,36,261,186,414
164300,164300.0,-650100,-650100.0,-650100,0,0,0,0,6,20,39,231,201,454
178900,178900.0,-635500,-635500.0,-652300,0,0,0,2,0,17,29,243,208,478
134200,134200.0,-680200,-680200.0,-680200,0,0,0,0,0,16,29,282,189,438
159300,159300.0,-655100,-655100.0,-655100,0,0,0,1,1,16,27,258,208,443
152700,152700.0,-661700,-661700.0,-661700,0,0,0,0,3,23,36,238,221,399
166200,166200.0,-648200,-648200.0,-648200,0,0,0,1,1,24,27,261,202,457
163600,163600.0,-650800,-650800.0,-650800,0,0,0,1,2,14,32,262,210,434
144500,144500.0,-669900,-669900.0,-669900,0,0,0,0,2,24,31,240,192,425
174100,174100.0,-640300,-640300.0,-640300,0,0,0,1,3,25,35,240,209,423
172800,172800.0,-641600,-641600.0,-641600,0,0,0,1,3,25,35,264,193,418
183500,183500.0,-630900,-630900.0,-630900,0,0,0,1,4,24,32,274,207,467
141700,141700.0,-672700,-672700.0,-672700,0,0,0,0,1,19,47,259,185,408
192000,192000.0,-622400,-622400.0,-622400,0,0,0,2,3,20,36,239,197,463
144700,144700.0,-669700,-669700.0,-669700,0,0,0,0,1,14,28,251,226,480
176400,176400.0,-638000,-638000.0,-638000,0,0,0,1,2,27,28,271,207,471
152800,152800.0,-661600,-661600.0,-661600,0,0,0,0,1,28,38,269,196,451
183400,183400.0,-631000,-631000.0,-631000,0,0,0,1,4,26,40,246,202,456
158500,158500.0,-655900,-655900.0,-655900,0,0,0,0,3,21,46,251,213,436
176900,176900.0,-637500,-637500.0,-637500,0,0,0,1,2,24,46,253,205,450
149700,149700.0,-664700,-664700.0,-664700,0,0,0,0,2,17,31,257,224,452
194400,194400.0,-620000,-620000.0,-620000,0,0,0,2,2,19,50,236,205,466
156700,156700.0,-657700,-657700.0,-657700,0,0,0,0,3,17,39,256,219,461
148400,148400.0,-666000,-666000.0,-666000,0,0,0,0,3,13,30,269,203,465
174500,174500.0,-639900,-639900.0,-639900,0,0,0,1,3,17,32,243,228,462
147900,147900.0,-666500,-666500.0,-666500,0,0,0,0,1,23,37,245,211,440
150300,150300.0,-664100,-664100.0,-664100,0,0,0,0,3,25,33,230,191,439
148300,148300.0,-666100,-666100.0,-666200,0,0,0,0,3,19,26,268,195,449
140600,140600.0,-673800,-673800.0,-673800,0,0,0,0,1,17,30,247,206,451
206600,206600.0,-607800,-607800.0,-607800,0,0,0,2,6,25,30,246,199,462
136300,136300.0,-678100,-678100.0,-678100,0,0,0,0,1,16,32,245,222,378
142600,142600.0,-671800,-671800.0,-671800,0,0,0,0,1,12,56,261,196,413
182700,182700.0,-631700,-631700.0,-631700,0,0,0,1,3,28,35,240,218,467
159400,159400.0,-655000,-655000.0,-655000,0,0,0,1,0,20,40,255,190,439
160000,160000.0,-654400,-654400.0,-654400,0,0,0,0,4,23,41,246,200,446
181600,181600.0,-632800,-632800.0,-632800,0,0,0,2,1,17,34,254,191,468
157200,157200.0,-657200,-657200.0,-657200,0,0,0,0,4,24,35,264,187,442
155000,155000.0,-659400,-659400.0,-659400,0,0,0,0,4,20,39,243,193,445
147600,147600.0,-666800,-666800.0,-666800,0,0,0,0,1,20,35,268,205,458
166600,166600.0,-647800,-647800.0,-647800,0,0,0,1,2,19,36,271,185,449
178700,178700.0,-635700,-635700.0,-648100,0,0,0,2,0,19,31,277,203,428
136000,136000.0,-678400,-678400.0,-678400,0,0,0,0,0,14,30,285,200,443
194200,194200.0,-620200,-620200.0,-620200,0,0,0,2,3,18,32,247,211,481
153200,153200.0,-661200,-661200.0,-661200,0,0,0,0,2,20,44,242,221,432
141200,141200.0,-673200,-673200.0,-673200,0,0,0,0,1,24,25,265,197,421
162100,162100.0,-652300,-652300.0,-652300,0,0,0,1,0,23,41,259,192,430
153100,153100.0,-661300,-661300.0,-661300,0,0,0,0,3,19,29,249,213,468
154700,154700.0,-659700,-659700.0,-659700,0,0,0,0,1,25,43,258,208,461
147300,147300.0,-667100,-667100.0,-667100,0,0,0,0,3,13,47,227,196,442
144500,144500.0,-669900,-669900.0,-669900,0,0,0,0,2,12,44,233,207,446
179600,179600.0,-634800,-634800.0,-634800,0,0,0,1,3,21,39,279,202,469
168200,168200.0,-646200,-646200.0,-646200,0,0,0,1,2,17,35,248,212,454
183900,183900.0,-630500,-630500.0,-630500,0,0,0,1,4,22,44,284,192,459
