total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
150700.0,-663700.0,-663700,0,0,0,0,4,13,40,272,183,445
330000.0,-484400.0,-484400,0,0,1,2,0,19,47,247,195,423
161600.0,-652800.0,-652800,0,0,0,1,0,19,39,264,191,462
148300.0,-666100.0,-666100,0,0,0,0,4,13,39,265,183,432
169200.0,-645200.0,-645200,0,0,0,1,2,21,29,255,217,439
171000.0,-643400.0,-643400,0,0,0,1,1,23,41,243,214,451
136800.0,-677600.0,-677600,0,0,0,0,1,14,38,258,191,424
194900.0,-619500.0,-622600,0,0,0,1,9,18,33,238,217,441
176500.0,-637900.0,-637900,0,0,0,1,4,21,47,248,181,439
140200.0,-674200.0,-674200,0,0,0,0,2,18,31,219,212,411
141200.0,-673200.0,-673200,0,0,0,0,2,12,37,247,189,463
163800.0,-650600.0,-650600,0,0,0,1,1,20,37,260,183,464
146100.0,-668300.0,-668300,0,0,0,0,0,23,38,259,204,458
155900.0,-658500.0,-658500,0,0,0,0,3,23,41,248,208,427
170300.0,-644100.0,-644100,0,0,0,1,3,18,36,252,205,433
170300.0,-644100.0,-644100,0,0,0,1,3,13,34,297,202,442
141500.0,-672900.0,-672900,0,0,0,0,2,20,24,287,189,414
165200.0,-649200.0,-649200,0,0,0,1,2,16,40,256,202,424
161000.0,-653400.0,-653400,0,0,0,0,5,19,36,264,197,456
299000.0,-515400.0,-515400,0,0,1,0,3,12,43,254,195,458
168100.0,-646300.0,-646300,0,0,0,0,7,17,36,270,189,473
149600.0,-664800.0,-664800,0,0,0,0,2,24,37,257,193,433
154500.0,-659900.0,-659900,0,0,0,1,1,14,35,250,171,461
153800.0,-660600.0,-660600,0,0,0,0,3,18,43,243,204,451
149000.0,-665400.0,-665400,0,0,0,0,2,20,36,246,197,466
152600.0,-661800.0,-661800,0,0,0,0,2,17,43,287,190,471
153400.0,-661000.0,-661000,0,0,0,0,1,22,44,252,216,458
142800.0,-671600.0,-671600,0,0,0,0,2,16,34,268,184,448
147900.0,-666500.0,-666500,0,0,0,0,3,16,38,246,193,447
155600.0,-658800.0,-658800,0,0,0,1,1,14,35,250,187,440
143100.0,-671300.0,-671300,0,0,0,0,2,17,29,266,207,419
154000.0,-660400.0,-660400,0,0,0,0,2,23,42,274,195,444
196300.0,-618100.0,-621900,0,0,0,2,3,19,41,263,205,454
165300.0,-649100.0,-649100,0,0,0,0,4,24,56,241,207,422
151900.0,-662500.0,-662500,0,0,0,0,3,14,38,247,202,484
163100.0,-651300.0,-651300,0,0,0,1,1,16,43,230,208,445
147000.0,-667400.0,-667400,0,0,0,0,2,15,49,275,186,427
161300.0,-653100.0,-653100,0,0,0,0,6,18,43,256,180,441
142600.0,-671800.0,-671800,0,0,0,0,1,20,34,261,198,433
142800.0,-671600.0,-671600,0,0,0,0,2,20,24,265,199,429
136300.0,-678100.0,-678100,0,0,0,0,0,16,35,273,196,430
165400.0,-649000.0,-649000,0,0,0,1,2,18,30,242,196,476
180600.0,-633800.0,-633800,0,0,0,2,1,16,31,275,202,435
166400.0,-648000.0,-648000,0,0,0,1,1,20,41,291,199,411
