Period,Date,Numbers,Special_Number,First_Prize_Total,First_Prize_Per_Bet,Second_Prize_Total,Second_Prize_Per_Bet
115000012,2026-02-09,13 14 16 33 34 37,2,166796319,0,20615275,0
115000011,2026-02-05,7 22 28 34 36 37,7,115552980,0,14281829,14281829
115000010,2026-02-02,1 12 14 15 27 29,5,94151391,0,11636688,13441113
115000009,2026-01-29,5 10 15 17 23 25,5,76882672,0,9502352,0
115000008,2026-01-26,3 8 12 26 32 38,4,66821053,0,8258781,0
115000007,2026-01-22,11 17 29 30 34 35,6,56271122,0,6954857,0
115000006,2026-01-19,10 16 20 23 35 37,5,55959822,0,6916382,0
115000005,2026-01-15,8 10 16 26 31 38,5,43986011,0,5436473,0
115000004,2026-01-12,1 9 14 17 33 38,3,40931255,0,5058919,0
115000003,2026-01-08,7 17 25 26 27 33,3,34163642,0,4222472,46059842
115000002,2026-01-05,11 14 19 25 34 37,4,34717266,0,4290898,0
115000001,2026-01-01,7 14 22 23 31 35,1,29487911,0,3644573,0
114000104,2025-12-29,1 3 9 11 18 32,6,27953280,0,3454899,0
114000103,2025-12-25,6 12 21 22 28 34,8,23564556,0,2912473,0
114000102,2025-12-22,5 16 21 25 32 34,8,24762866,0,3060578,0
114000101,2025-12-18,8 15 16 21 29 37,5,19949986,0,2465728,0
114000100,2025-12-15,19 26 28 31 32 34,6,20879270,0,2580584,0
114000099,2025-12-11,5 6 11 15 22 37,7,18190354,0,2248246,0
114000098,2025-12-08,5 14 15 20 32 37,2,19039765,0,2353229,0
114000097,2025-12-04,3 6 7 10 29 33,1,17589021,0,2173923,0
114000096,2025-12-01,5 7 8 11 32 37,2,17124579,0,2116521,0
114000095,2025-11-27,4 9 16 26 33 35,2,17497106,0,2162563,0
114000094,2025-11-24,7 9 19 20 33 34,7,18861236,0,2331164,0
114000093,2025-11-20,3 8 17 20 31 35,7,16364323,0,2022556,0
114000092,2025-11-17,17 18 19 28 34 36,6,18235045,0,2253769,0
114000091,2025-11-13,2 9 11 15 26 34,4,14285843,0,1765666,0
114000090,2025-11-10,6 12 28 29 31 32,4,16537174,0,2043920,2024406
114000089,2025-11-06,11 18 20 25 29 37,8,16221411,0,2004893,0
114000088,2025-11-03,4 18 20 30 32 35,4,16834737,0,2080697,7907769
114000087,2025-10-30,13 14 17 20 21 24,2,15688719,0,1939055,0
114000086,2025-10-27,1 11 16 20 27 36,6,100456235,200000000,2050147,0
114000085,2025-10-23,5 9 11 21 32 35,8,14870039,0,1837870,0
114000084,2025-10-20,8 12 19 22 24 32,5,15407795,0,1904334,1904334
114000083,2025-10-16,8 9 13 16 26 35,2,16607115,0,2052564,10718269
114000082,2025-10-13,4 6 8 18 24 28,1,16853476,0,2083013,0
114000081,2025-10-09,1 6 11 20 34 35,8,17803106,0,2200383,0
114000080,2025-10-06,5 6 9 14 15 37,5,18002234,0,2224995,0
114000079,2025-10-02,3 5 12 24 27 30,7,17454635,227106478,2157314,0
114000078,2025-09-29,12 16 17 20 27 36,3,18639496,0,2303758,28462968
114000077,2025-09-25,8 12 14 24 28 35,3,16431366,0,2030843,0
114000076,2025-09-22,10 11 14 22 31 33,2,18546305,0,2292239,0
114000075,2025-09-18,10 20 25 28 32 36,2,17892760,0,2211464,0
114000074,2025-09-15,4 16 20 33 34 38,2,18814795,0,2325424,0
114000073,2025-09-11,11 18 21 27 31 35,6,17865886,0,2208143,0
114000072,2025-09-08,7 8 14 15 25 36,6,17566820,0,2171180,0
114000071,2025-09-04,6 7 9 11 21 38,8,14506648,0,1792956,0
114000070,2025-09-01,2 7 16 18 28 29,4,18091879,0,2236075,0
114000069,2025-08-28,9 13 14 17 23 30,5,16707084,0,2064920,0
114000068,2025-08-25,1 12 14 21 36 37,3,18699594,0,2311185,0
114000067,2025-08-21,2 4 11 12 16 19,2,15889210,0,1963834,0
114000066,2025-08-18,2 5 8 17 20 26,6,20639482,268911196,2550947,0
114000065,2025-08-14,1 11 14 17 19 36,3,19631749,0,2426395,21856303
